Term;TermFragment;MainPage;TermType;TermFrequency;CValue;inHeader;TermComponents
ПОЛЯ СПИСОЧНОЙ ЯЧЕЙКИ;полей списочной ячейки;32;CombTerm;1;2;False;СПИСОЧНАЯ ЯЧЕЙКА(1),  ПОЛЯ ЯЧЕЙКИ(1),  ПОЛЕ ЯЧЕЙКИ(1),  ПОЛЬ ЯЧЕЙКИ(1),  
ПОЛЕ СПИСОЧНОЙ ЯЧЕЙКИ;полей списочной ячейки;32;CombTerm;1;2;False;
ПОЛЬ СПИСОЧНОЙ ЯЧЕЙКИ;полей списочной ячейки;32;CombTerm;1;2;False;
КОНФИГУРАЦИЯ СПИСОЧНЫХ ЯЧЕЕК;конфигурация списочных ячеек;32;CombTerm;1;2;False;СПИСОЧНАЯ ЯЧЕЙКА(1),  КОНФИГУРАЦИЯ ЯЧЕЕК(1),  
КОПИЯ ВЕРХНЕГО УРОВНЯ;копия верхнего уровня;32;CombTerm;1;0;False;ВЕРХНИЙ УРОВЕНЬ(1),  КОПИЯ УРОВНЯ(1),  
СВОЙСТВО ФУНКЦИОНАЛЬНОГО ПРОГРАММИРОВАНИЯ;свойство функционального программирования;33;CombTerm;1;0;False;ФУНКЦИОНАЛЬНОЕ ПРОГРАММИРОВАНИЕ(1),  СВОЙСТВО ПРОГРАММИРОВАНИЯ(1),  
ОТСУТСТВИЕ ПОБОЧНЫХ ЭФФЕКТОВ;отсутствие побочных эффектов;33;CombTerm;1;2;False;ПОБОЧНЫЙ ЭФФЕКТ(1),  ОТСУТСТВИЕ ЭФФЕКТОВ(1),  
УРОВЕНЬ СПИСОЧНОГО ВЫРАЖЕНИЯ;уровнях списочного выражения;33;CombTerm;3;4;False;СПИСОЧНОЕ ВЫРАЖЕНИЕ(9),  
РЕШЕНИЕ УКАЗАННОЙ ПРОБЛЕМЫ;решения указанной проблемы;34;CombTerm;1;2;False;УКАЗАННАЯ ПРОБЛЕМА(1),  
ОСОБЕННОСТЬ ФУНКЦИОНАЛЬНОГО ПРОГРАММИРОВАНИЯ;особенность функционального программирования;34;CombTerm;2;2;False;ФУНКЦИОНАЛЬНОЕ ПРОГРАММИРОВАНИЕ(4),  ОСОБЕННОСТЬ ПРОГРАММИРОВАНИЯ(4),  
ФУНКЦИЯ ПОБОЧНОГО ЭФФЕКТА;функций побочного эффекта;34;CombTerm;1;0;False;ПОБОЧНЫЙ ЭФФЕКТ(1),  ФУНКЦИЯ ЭФФЕКТА(1),  
ГЛАВНОЕ ОТЛИЧИТЕЛЬНЫХ ОСОБЕННОСТЕЙ;главных отличительных особенностей;34;CombTerm;1;2;False;ОТЛИЧИТЕЛЬНАЯ ОСОБЕННОСТЬ(1),  ГЛАВНОЕ ОСОБЕННОСТЕЙ(1),  
ОСОБЕННОСТЬ ФУНКЦИОНАЛЬНОЙ ПРОГРАММЫ;особенность функциональной программы;35;CombTerm;1;2;False;ФУНКЦИОНАЛЬНАЯ ПРОГРАММА(1),  ОСОБЕННОСТЬ ПРОГРАММЫ(1),  
ДЕЛЕНИЕ КОМПЛЕКСНЫХ ЧИСЕЛ;деления комплексных чисел;36;CombTerm;1;0;False;КОМПЛЕКСНОЕ ЧИСЛО(1),  ДЕЛЕНИЕ ЧИСЕЛ(1),  
КОНЦЕПЦИЯ ПОЗДНЕГО СВЯЗЫВАНИЯ;концепции позднего связывания;37;CombTerm;1;2;False;ПОЗДНЕЕ СВЯЗЫВАНИЕ(1),  КОНЦЕПЦИЯ СВЯЗЫВАНИЯ(1),  
ПРОВЕРКА НУЖНОГО ТИПА;проверку нужного типа;38;CombTerm;1;2;False;НУЖНЫЙ ТИП(1),  ПРОВЕРКА ТИПА(1),  
ИНТЕРПРЕТАТОР ФУНКЦИОНАЛЬНОГО ЯЗЫКА;интерпретатора функционального языка;38;CombTerm;1;0;False;ФУНКЦИОНАЛЬНЫЙ ЯЗЫК(1),  ИНТЕРПРЕТАТОР ЯЗЫКА(1),  
КОМПИЛЯЦИЯ ФУНКЦИОНАЛЬНЫХ ПРОГРАММ;компиляцию функциональных программ;38;CombTerm;1;0;False;ФУНКЦИОНАЛЬНАЯ ПРОГРАММА(1),  КОМПИЛЯЦИЯ ПРОГРАММ(1),  
ВЫЗОВ РЕКУРСИВНОЙ ФУНКЦИИ;вызовов рекурсивной функции;40;CombTerm;1;2;False;РЕКУРСИВНАЯ ФУНКЦИЯ(1),  ВЫЗОВ ФУНКЦИИ(1),  
ДЛИНА РЕВЕРСИРУЕМОГО СПИСКА;длине реверсируемого списка;40;CombTerm;1;0;False;РЕВЕРСИРУЕМЫЙ СПИСОК(1),  ДЛИНА СПИСКА(1),  
КЛАСС РЕКУРСИВНЫХ ФУНКЦИЙ;класс рекурсивных функций;41;CombTerm;1;2;False;РЕКУРСИВНАЯ ФУНКЦИЯ(1),  КЛАСС ФУНКЦИЙ(1),  
ОПТИМИЗАЦИЯ ХВОСТОВОЙ РЕКУРСИИ;оптимизации хвостовой рекурсии;41;CombTerm;1;2;False;ХВОСТОВАЯ РЕКУРСИЯ(1),  ОПТИМИЗАЦИЯ РЕКУРСИИ(1),  
ВЫПОЛНЕНИЕ РЕКУРСИВНОЙ ФУНКЦИИ;выполнение рекурсивной функции;41;CombTerm;1;2;False;РЕКУРСИВНАЯ ФУНКЦИЯ(1),  ВЫПОЛНЕНИЕ ФУНКЦИИ(1),  
АРГУМЕНТ РЕКУРСИВНОГО ВЫЗОВА;аргументов рекурсивного вызова;41;CombTerm;1;2;False;РЕКУРСИВНЫЙ ВЫЗОВ(1),  
ВЕТВЬ БИНАРНОГО ДЕРЕВА;ветви бинарного дерева;41;CombTerm;1;0;False;БИНАРНОЕ ДЕРЕВО(1),  ВЕТВЬ ДЕРЕВА(1),  
ЗАПИСЬ ЛОГИЧЕСКОГО ВЫРАЖЕНИЯ;записи логического выражения;42;CombTerm;1;2;False;ЛОГИЧЕСКОЕ ВЫРАЖЕНИЕ(1),  
ПРЕОБРАЗОВАНИЕ ЛОГИЧЕСКОЙ ФОРМУЛЫ;преобразование логической формулы;43;CombTerm;2;2;False;ЛОГИЧЕСКАЯ ФОРМУЛА(4),  ПРЕОБРАЗОВАНИЕ ФОРМУЛЫ(4),  
ПЕРЕВОД ЛОГИЧЕСКОГО ВЫРАЖЕНИЯ;перевода логического выражения;43;CombTerm;1;0;False;ЛОГИЧЕСКОЕ ВЫРАЖЕНИЕ(1),  ПЕРЕВОД ВЫРАЖЕНИЯ(1),  
ПЕРЕВОД ЛОГИЧЕСКОГО ОПЕРАНДА;перевода логического операнда;43;CombTerm;1;0;False;ЛОГИЧЕСКИЙ ОПЕРАНД(1),  ПЕРЕВОД ОПЕРАНДА(1),  
ПРЕОБРАЗОВАНИЕ ЛОГИЧЕСКОГО ВЫРАЖЕНИЯ;преобразование логического выражения;44;CombTerm;1;2;False;ЛОГИЧЕСКОЕ ВЫРАЖЕНИЕ(1),  
ЛИСТ БИНАРНОГО ДЕРЕВА;лист бинарного дерева;45;CombTerm;1;2;False;БИНАРНОЕ ДЕРЕВО(1),  ЛИСТ ДЕРЕВА(1),  
ТЕРМИН БИНАРНОГО ДЕРЕВА;терминах бинарного дерева;47;CombTerm;1;2;False;БИНАРНОЕ ДЕРЕВО(1),  ТЕРМИН ДЕРЕВА(1),  
ПРИЕМ ФУНКЦИОНАЛЬНОГО ПРОГРАММИРОВАНИЯ;приемом функционального программирования;49;CombTerm;1;0;False;ФУНКЦИОНАЛЬНОЕ ПРОГРАММИРОВАНИЕ(1),  ПРИЕМ ПРОГРАММИРОВАНИЯ(1),  
ЗАДАЧА ОДНОВРЕМЕННОГО ПОДСЧЕТА;задачу одновременного подсчета;49;CombTerm;1;0;False;ОДНОВРЕМЕННЫЙ ПОДСЧЕТ(1),  
ДУБЛИРОВАНИЕ РЕКУРСИВНЫХ ВЫЗОВОВ;дублирование рекурсивных вызовов;49;CombTerm;1;0;False;РЕКУРСИВНЫЙ ВЫЗОВ(1),  ДУБЛИРОВАНИЕ ВЫЗОВОВ(1),  
ЧИСЛО РЕКУРСИВНЫХ ВЫЗОВОВ;число рекурсивных вызовов;49;CombTerm;1;2;False;РЕКУРСИВНЫЙ ВЫЗОВ(1),  
СОЗДАНИЕ ТОЧЕЧНЫХ ПАР;создания точечных пар;50;CombTerm;1;2;False;СОЗДАНИЕ ПАР(1),  
РАСЩЕПЛЕНИЕ ТОЧЕЧНЫХ ПАР;расщеплений точечных пар;50;CombTerm;1;2;False;РАСЩЕПЛЕНИЕ ПАР(1),  
ВЫРАВНИВАНИЕ ЛЕВОГО ПОДДЕРЕВА;выравнивания левого поддерева;56;CombTerm;1;2;False;ЛЕВОЕ ПОДДЕРЕВО(1),  ВЫРАВНИВАНИЕ ПОДДЕРЕВА(1),  
ПОРЯДОК РЕКУРСИВНЫХ ВЫЗОВОВ;порядок рекурсивных вызовов;56;CombTerm;1;0;False;РЕКУРСИВНЫЙ ВЫЗОВ(1),  
СПИСОК ТОЧЕЧНЫХ ПАР;список точечных пар;58;CombTerm;1;0;False;СПИСОК ПАР(1),  
ПРОИЗВЕДЕНИЕ НАТУРАЛЬНЫХ ЧИСЕЛ;произведения натуральных чисел;59;CombTerm;1;0;False;НАТУРАЛЬНОЕ ЧИСЛО(1),  ПРОИЗВЕДЕНИЕ ЧИСЕЛ(1),  
РЕКУРСИЯ ВЫСОЧАЙШЕГО ПОРЯДКА;рекурсия высшего порядка;59;CombTerm;1;2;False;РЕКУРСИЯ ПОРЯДКА(1),  
СТРУКТУРА СПИСОЧНОГО ВЫРАЖЕНИЯ;структуру списочного выражения;59;CombTerm;3;6;False;СПИСОЧНОЕ ВЫРАЖЕНИЕ(1),  СТРУКТУРА ВЫРАЖЕНИЯ(1),  
ЭЛЕМЕНТ СПИСОЧНОГО ВЫРАЖЕНИЯ;элементов списочного выражения;60;CombTerm;1;2;False;СПИСОЧНОЕ ВЫРАЖЕНИЕ(1),  
АТОМ СПИСОЧНОГО ВЫРАЖЕНИЯ;атом списочного выражения;60;CombTerm;1;2;False;СПИСОЧНОЕ ВЫРАЖЕНИЕ(1),  АТОМ ВЫРАЖЕНИЯ(1),  
ФУНКЦИЯ ВЫСОЧАЙШИХ ПОРЯДКОВ;функцией высших порядков;60;CombTerm;3;6;False;ФУНКЦИЯ ПОРЯДКОВ(9),  
РЕШЕНИЕ РАЗНЫХ КЛАССОВ;решении разных классов;60;CombTerm;1;0;False;РАЗНЫЙ КЛАСС(1),  РЕШЕНИЕ КЛАССОВ(1),  
СПИСОК ФАКТИЧЕСКИХ ПАРАМЕТРОВ;список фактических параметров;63;CombTerm;2;4;False;ФАКТИЧЕСКИЙ ПАРАМЕТР(4),  СПИСОК ПАРАМЕТРОВ(4),  
КВОТИРОВАНИЕ ФУНКЦИОНАЛЬНОГО АРГУМЕНТА;квотирование функционального аргумента;63;CombTerm;1;2;False;ФУНКЦИОНАЛЬНЫЙ АРГУМЕНТ(1),  КВОТИРОВАНИЕ АРГУМЕНТА(1),  
ЗАМЫКАНИЕ ФУНКЦИОНАЛЬНОГО АРГУМЕНТА;Замыкание функционального аргумента;66;CombTerm;3;6;True;ФУНКЦИОНАЛЬНЫЙ АРГУМЕНТ(9),  ЗАМЫКАНИЕ АРГУМЕНТА(9),  
КАЧЕСТВО ФУНКЦИОНАЛЬНОГО АРГУМЕНТА;качестве функционального аргумента;66;CombTerm;4;8;False;ФУНКЦИОНАЛЬНЫЙ АРГУМЕНТ(16),  
ТЕЛО БЕЗЫМЯННОЙ ФУНКЦИИ;теле безымянной функции;66;CombTerm;1;2;False;БЕЗЫМЯННАЯ ФУНКЦИЯ(1),  ТЕЛО ФУНКЦИИ(1),  
ПРИНЦИП ДИНАМИЧЕСКОГО СВЯЗЫВАНИЯ;принципу динамического связывания;67;CombTerm;1;2;False;ДИНАМИЧЕСКОЕ СВЯЗЫВАНИЕ(1),  
ПОПОЛНЕНИЕ ВЫЧИСЛИТЕЛЬНОГО КОНТЕКСТА;пополнении вычислительного контекста;67;CombTerm;1;2;False;ВЫЧИСЛИТЕЛЬНЫЙ КОНТЕКСТ(1),  ПОПОЛНЕНИЕ КОНТЕКСТА(1),  
ПРОБЛЕМА ФУНКЦИОНАЛЬНОГО АРГУМЕНТА;проблемы функционального аргумента;68;CombTerm;2;2;False;ФУНКЦИОНАЛЬНЫЙ АРГУМЕНТ(4),  
ВЫЗОВ ФУНКЦИОНАЛЬНОГО АРГУМЕНТА;вызова функционального аргумента;68;CombTerm;1;2;False;ФУНКЦИОНАЛЬНЫЙ АРГУМЕНТ(1),  
ЗАПИСЬ ФУНКЦИОНАЛЬНОГО АРГУМЕНТА;записи функционального аргумента;69;CombTerm;1;0;False;ФУНКЦИОНАЛЬНЫЙ АРГУМЕНТ(1),  
ПРОВЕРКА НУЖНОГО СВОЙСТВА;проверки нужного свойства;70;CombTerm;1;2;False;НУЖНОЕ СВОЙСТВО(1),  ПРОВЕРКА СВОЙСТВА(1),  
ЧИСЛО СЛОЖНЫХ ОПЕРАЦИЙ;число сложных операций;70;CombTerm;1;0;False;СЛОЖНАЯ ОПЕРАЦИЯ(1),  ЧИСЛО ОПЕРАЦИЙ(1),  
АССОЦИАТИВНОСТЬ БИНАРНОЙ ОПЕРАЦИИ;ассоциативности бинарной операции;72;CombTerm;1;2;False;БИНАРНАЯ ОПЕРАЦИЯ(1),  АССОЦИАТИВНОСТЬ ОПЕРАЦИИ(1),  
ЗАМЕНА ФУНКЦИОНАЛЬНОЙ БЛОКИРОВКИ;заменой функциональной блокировки;73;CombTerm;1;2;False;ФУНКЦИОНАЛЬНАЯ БЛОКИРОВКА(1),  ЗАМЕНА БЛОКИРОВКИ(1),  
ИМЯ КЛЮЧЕВОГО ПАРАМЕТРА;имени ключевого параметра;73;CombTerm;2;4;False;КЛЮЧЕВОЙ ПАРАМЕТР(4),  
ТЕХНИК РЕКУРСИВНОГО ПРОГРАММИРОВАНИЯ;техники рекурсивного программирования;73;CombTerm;1;0;False;РЕКУРСИВНОЕ ПРОГРАММИРОВАНИЕ(1),  ТЕХНИК ПРОГРАММИРОВАНИЯ(1),  
ПРОИЗВЕДЕНИЕ ОДНОЭЛЕМЕНТНОГО МНОЖЕСТВА;произведение одноэлементного множества;73;CombTerm;1;0;False;ОДНОЭЛЕМЕНТНОЕ МНОЖЕСТВО(1),  ПРОИЗВЕДЕНИЕ МНОЖЕСТВА(1),  
СОЕДИНЕНИЕ ПРОМЕЖУТОЧНЫХ СПИСОК-РЕЗУЛЬТАТОВ;соединения промежуточных списков-результатов;74;CombTerm;1;2;False;ПРОМЕЖУТОЧНЫЙ СПИСОК-РЕЗУЛЬТАТ(1),  СОЕДИНЕНИЕ СПИСОК-РЕЗУЛЬТАТОВ(1),  
ОСНОВА АНАЛОГИЧНЫХ РАССУЖДЕНИЙ;основе аналогичных рассуждений;75;CombTerm;1;2;False;АНАЛОГИЧНОЕ РАССУЖДЕНЬЕ(1),  ОСНОВА РАССУЖДЕНИЙ(1),  
ВЫРАЖЕНИЕ БЕЗЫМЯННОЙ ФУНКЦИИ;выражение безымянной функции;76;CombTerm;1;2;False;БЕЗЫМЯННАЯ ФУНКЦИЯ(1),  ВЫРАЖЕНИЕ ФУНКЦИИ(1),  
РЕШЕНИЕ ПРАКТИЧЕСКИХ ЗАДАЧ;решении практических задач;79;CombTerm;2;4;False;ПРАКТИЧЕСКАЯ ЗАДАЧА(4),  
СУПЕРПОЗИЦИЯ СТАНДАРТНЫХ ФУНКЦИЙ;суперпозицию стандартных функций;80;CombTerm;1;2;False;СТАНДАРТНАЯ ФУНКЦИЯ(1),  СУПЕРПОЗИЦИЯ ФУНКЦИЙ(1),  
АТОМ-ИМЯ ПАСКАЛЕВСКИХ ФУНКЦИЙ;атомов-имен паскалевских функций;80;CombTerm;1;0;False;ПАСКАЛЕВСКАЯ ФУНКЦИЯ(1),  АТОМ-ИМЯ ФУНКЦИЙ(1),  
ВЫРАЖЕНИЕ-СУПЕРПОЗИЦИЯ ПАСКАЛЕВСКИХ ФУНКЦИЙ;выражения-суперпозиции паскалевских функций;81;CombTerm;1;2;False;ПАСКАЛЕВСКАЯ ФУНКЦИЯ(1),  ВЫРАЖЕНИЕ-СУПЕРПОЗИЦИЯ ФУНКЦИЙ(1),  
ДОБАВЛЕНИЕ ЛОГИЧЕСКОГО ТИПА;добавление логического типа;82;CombTerm;1;2;False;ЛОГИЧЕСКИЙ ТИП(1),  ДОБАВЛЕНИЕ ТИПА(1),  
ПОСТРОЕНИЕ ВНУТРЕННИХ ИМЕН;построение внутренних имен;83;CombTerm;1;2;False;ПОСТРОЕНИЕ ИМЕН(1),  
ИМЯ СИМВОЛЬНЫХ АТОМОВ;имен символьных атомов;83;CombTerm;2;0;False;СИМВОЛЬНЫЙ АТОМ(4),  ИМЯ АТОМОВ(4),  
ЗНАК ВЕРТИКАЛЬНОЙ ЧЕРТЫ;знак вертикальной черты;83;CombTerm;3;6;False;ВЕРТИКАЛЬНАЯ ЧЕРТА(9),  ЗНАК ЧЕРТЫ(9),  
ПОЛУЧЕНИЕ ВНЕШНЕГО ИМЕНИ;получения внешнего имени;83;CombTerm;1;2;False;ВНЕШНЕЕ ИМЯ(1),  ПОЛУЧЕНИЕ ИМЕНИ(1),  
КОНСТАНТА СИМВОЛЬНОГО ТИПА;константу символьного типа;84;CombTerm;1;2;False;СИМВОЛЬНЫЙ ТИП(1),  
ФУНКЦИЯ ПОСИМВОЛЬНОГО ВВОДА;функцию посимвольного ввода;84;CombTerm;1;2;False;ПОСИМВОЛЬНЫЙ ВВОД(1),  ФУНКЦИЯ ВВОДА(1),  
СИМВОЛ ВЕРТИКАЛЬНОЙ ЧЕРТЫ;символы вертикальной черты;85;CombTerm;1;2;False;ВЕРТИКАЛЬНАЯ ЧЕРТА(1),  СИМВОЛ ЧЕРТЫ(1),  
СПИСОК ОДНОСИМВОЛЬНЫХ АТОМОВ;список односимвольных атомов;85;CombTerm;1;2;False;ОДНОСИМВОЛЬНЫЙ АТОМ(1),  СПИСОК АТОМОВ(1),  
ВЫВОД СИМВОЛЬНЫХ АТОМОВ;вывода символьных атомов;86;CombTerm;1;2;False;СИМВОЛЬНЫЙ АТОМ(1),  ВЫВОД АТОМОВ(1),  
ПОСЛЕДОВАТЕЛЬНОСТЬ ВЫЧИСЛИМЫХ ЛИСПОВСКИХ;последовательности вычислимых лисповских;86;CombTerm;1;2;False;ВЫЧИСЛИМЫЙ ЛИСПОВСКИЙ(1),  ПОСЛЕДОВАТЕЛЬНОСТЬ ЛИСПОВСКИХ(1),  
ЗАПИСЬ УПРАВЛЯЮЩИХ КОНСТРУКЦИЙ;запись управляющих конструкций;87;CombTerm;1;2;False;УПРАВЛЯЮЩАЯ КОНСТРУКЦИЯ(1),  
ЗНАЧЕНИЕ ФАКТИЧЕСКИХ ПАРАМЕТРОВ;значения фактических параметров;89;CombTerm;3;6;False;ФАКТИЧЕСКИЙ ПАРАМЕТР(4),  
ВЫРАЖЕНИЕ ОБЫЧНОЙ ФУНКЦИИ;выражением обычной функции;90;CombTerm;1;2;False;ОБЫЧНАЯ ФУНКЦИЯ(1),  ВЫРАЖЕНИЕ ФУНКЦИИ(1),  
ЧИСЛО ФАКТИЧЕСКИХ ПАРАМЕТРОВ;числом фактических параметров;90;CombTerm;1;2;False;ФАКТИЧЕСКИЙ ПАРАМЕТР(1),  
ВЫПОЛНЕНИЕ ФУНКЦИОНАЛЬНОГО ВЫЗОВА;выполнения функционального вызова;91;CombTerm;2;4;False;ФУНКЦИОНАЛЬНЫЙ ВЫЗОВ(4),  
ЭЛЕМЕНТ ФУНКЦИОНАЛЬНОГО ВЫЗОВА;элементы функционального вызова;93;CombTerm;1;2;False;ФУНКЦИОНАЛЬНЫЙ ВЫЗОВ(1),  
СПИСОК ФОРМАЛЬНЫХ ПАРАМЕТРОВ;Список формальных параметров;93;CombTerm;1;2;False;ФОРМАЛЬНЫЙ ПАРАМЕТР(1),  СПИСОК ПАРАМЕТРОВ(1),  
СВЯЗЬ ФОРМАЛЬНЫХ ПАРАМЕТРОВ;связи формальных параметров;94;CombTerm;1;2;False;ФОРМАЛЬНЫЙ ПАРАМЕТР(1),  
ВЫЗОВ ОБЫЧНОЙ ФУНКЦИИ;вызова обычной функции;95;CombTerm;1;2;False;ОБЫЧНАЯ ФУНКЦИЯ(1),  ВЫЗОВ ФУНКЦИИ(1),  
ПОСТРОЕНИЕ ВЫЧИСЛИМОЙ ФОРМЫ;построения вычислимой формы;95;CombTerm;1;2;False;ВЫЧИСЛИМАЯ ФОРМА(1),  ПОСТРОЕНИЕ ФОРМЫ(1),  
СПИСОК НЕВЫЧИСЛЕННЫХ АРГУМЕНТОВ;список невычисленных аргументов;98;CombTerm;1;0;False;НЕВЫЧИСЛЕННЫЙ АРГУМЕНТ(1),  СПИСОК АРГУМЕНТОВ(1),  
ФУНКЦИЯ-АНАЛОГ ШИРОКОУПОТРЕБИТЕЛЬНЫХ ОПЕРАТОРОВ;функции-аналоги широкоупотребительных операторов;2;CombTerm;1;2;False;ШИРОКОУПОТРЕБИТЕЛЬНЫЙ ОПЕРАТОР(1),  ФУНКЦИЯ-АНАЛОГ ОПЕРАТОРОВ(1),  
ИМЯ ВЫЗЫВАЮЩЕЙ ФУНКЦИИ;имя вызываемой функции;5;CombTerm;1;2;False;ВЫЗЫВАЮЩАЯ ФУНКЦИЯ(1),  ИМЯ ФУНКЦИИ(1),  
ПАРАМЕТРИЗАЦИЯ ВЫЧИСЛЯЮЩЕГО ВЫРАЖЕНИЯ;параметризации вычисляемого выражения;12;CombTerm;1;2;False;ВЫЧИСЛЯЮЩЕЕ ВЫРАЖЕНИЕ(1),  ПАРАМЕТРИЗАЦИЯ ВЫРАЖЕНИЯ(1),  
ИМЯ ВСТРОИВШЕЙ ФУНКЦИИ;именем встроенной функции;12;CombTerm;2;4;False;ВСТРОИВШАЯ ФУНКЦИЯ(1),  ИМЯ ФУНКЦИИ(1),  
ИМЯ ОПРЕДЕЛЯЮЩЕЙ ФУНКЦИИ;имя определяемой функции;14;CombTerm;1;2;False;ОПРЕДЕЛЯЮЩАЯ ФУНКЦИЯ(1),  ИМЯ ФУНКЦИИ(1),  
НАБОР ВСТРОИВШИХ ФУНКЦИЙ;набор встроенных функций;2;CombTerm;3;6;False;ВСТРОИВШАЯ ФУНКЦИЯ(1),  НАБОР ФУНКЦИЙ(1),  
РЯД ВСТРОИВШИХ ФУНКЦИЙ;ряд встроенных функций;16;CombTerm;3;6;False;ВСТРОИВШАЯ ФУНКЦИЯ(1),  РЯД ФУНКЦИЙ(1),  
ВЫПОЛНЕНИЕ ПРОВЕРЯЮЩЕГО УСЛОВИЯ;выполнения проверяемого условия;18;CombTerm;1;2;False;ПРОВЕРЯЮЩЕЕ УСЛОВИЕ(1),  
НАБОР ВСТРОИВШИХ ЛИСП-ФУНКЦИЙ;набора встроенных лисп-функций;19;CombTerm;1;2;False;ВСТРОИВШАЯ ЛИСП-ФУНКЦИЯ(1),  НАБОР ЛИСП-ФУНКЦИЙ(1),  
ТЕКСТ ИНТЕРПРЕТИРУЮЩЕЙ ПРОГРАММЫ;тексте интерпретируемой программы;29;CombTerm;1;2;False;ИНТЕРПРЕТИРУЮЩАЯ ПРОГРАММА(1),  ТЕКСТ ПРОГРАММЫ(1),  
ПАР ПРЕДСТАВЛЯЮЩЕГО ВЫРАЖЕНИЯ;пар представляемого выражения;31;CombTerm;1;2;False;ПРЕДСТАВЛЯЮЩЕЕ ВЫРАЖЕНИЕ(1),  ПАР ВЫРАЖЕНИЯ(1),  
ЯЧЕЙКА СРАВНИВАЮЩИХ СПИСКОВ;ячеек сравниваемых списков;34;CombTerm;1;2;False;СРАВНИВАЮЩИЙ СПИСОК(1),  ЯЧЕЙКА СПИСКОВ(1),  
РЕШЕНИЕ УКАЗАВШЕЙ ПРОБЛЕМЫ;решения указанной проблемы;34;CombTerm;1;2;False;УКАЗАВШАЯ ПРОБЛЕМА(1),  
НАБОР ЗАПРОГРАММИРОВАВШИХ ФУНКЦИЙ;набором запрограммированных функций;35;CombTerm;1;2;False;ЗАПРОГРАММИРОВАВШАЯ ФУНКЦИЯ(1),  НАБОР ФУНКЦИЙ(1),  
БАЗ ВСТРОИВШИХ ФУНКЦИЙ;базе встроенных функций;35;CombTerm;1;2;False;ВСТРОИВШАЯ ФУНКЦИЯ(1),  БАЗ ФУНКЦИЙ(1),  БАЗА ФУНКЦИЙ(1),  
БАЗА ВСТРОИВШИХ ФУНКЦИЙ;базе встроенных функций;35;CombTerm;1;2;False;
ТЕЛО ВЫЧИСЛЯЮЩИХ ФУНКЦИЙ;тела вычисляемых функций;38;CombTerm;1;2;False;ВЫЧИСЛЯЮЩАЯ ФУНКЦИЯ(1),  ТЕЛО ФУНКЦИЙ(1),  
ПОСТРОЕНИЕ ТРЕБУЮЩЕГО СПИСКА;построения требуемого списка;39;CombTerm;1;2;False;ТРЕБУЮЩИЙ СПИСОК(1),  ПОСТРОЕНИЕ СПИСКА(1),  
ПОСТРОЕНИЕ ПЕРЕВЕРНУВШЕГО СПИСКА;построение перевернутого списка;40;CombTerm;1;2;False;ПЕРЕВЕРНУВШИЙ СПИСОК(1),  ПОСТРОЕНИЕ СПИСКА(1),  
ПОДСОЕДИНЕНИЕ СОХРАНИВШИХ ЭЛЕМЕНТОВ;подсоединение сохраненных элементов;40;CombTerm;1;2;False;СОХРАНИВШИЙ ЭЛЕМЕНТ(1),  ПОДСОЕДИНЕНИЕ ЭЛЕМЕНТОВ(1),  
СТЕКА ВЛОЖИВШИХ ВЫЗОВОВ;стеке вложенных вызовов;40;CombTerm;1;2;False;ВЛОЖИВШИЙ ВЫЗОВ(1),  СТЕКА ВЫЗОВОВ(1),  СТЕК ВЫЗОВОВ(1),  
СТЕК ВЛОЖИВШИХ ВЫЗОВОВ;стеке вложенных вызовов;40;CombTerm;1;2;False;
ЗНАЧЕНИЕ ПРЕОБРАЗОВАВШЕЙ ФОРМУЛЫ;значения преобразованной формулы;44;CombTerm;1;2;False;ПРЕОБРАЗОВАВШАЯ ФОРМУЛА(1),  ЗНАЧЕНИЕ ФОРМУЛЫ(1),  
ТЕЛО ОПРЕДЕЛЯЮЩЕЙ ФУНКЦИИ;теле определяемой функции;45;CombTerm;1;2;False;ОПРЕДЕЛЯЮЩАЯ ФУНКЦИЯ(1),  ТЕЛО ФУНКЦИИ(1),  
ВЫЗОВ ОПРЕДЕЛЯЮЩЕЙ ФУНКЦИИ;вызовами определяемой функции;46;CombTerm;1;2;False;ОПРЕДЕЛЯЮЩАЯ ФУНКЦИЯ(1),  ВЫЗОВ ФУНКЦИИ(1),  
РОЛЬ НАКАПЛИВАЮЩЕГО ПАРАМЕТРА;роль накапливающего параметра;49;CombTerm;1;2;False;НАКАПЛИВАЮЩИЙ ПАРАМЕТР(1),  РОЛЬ ПАРАМЕТРА(1),  
ВВЕДЕНИЕ НАКАПЛИВАЮЩЕГО ПАРАМЕТРА;введении накапливающего параметра;51;CombTerm;1;2;False;НАКАПЛИВАЮЩИЙ ПАРАМЕТР(1),  ВВЕДЕНИЕ ПАРАМЕТРА(1),  
ЗНАЧЕНИЕ НАКАПЛИВАЮЩЕГО ПАРАМЕТРА;значением накапливающего параметра;51;CombTerm;2;4;False;НАКАПЛИВАЮЩИЙ ПАРАМЕТР(1),  
ПЕРЕПИСЫВАНИЕ ВЫЧИСЛЯЮЩЕГО ВЫРАЖЕНИЯ;переписывания вычисляемого выражения;52;CombTerm;1;2;False;ВЫЧИСЛЯЮЩЕЕ ВЫРАЖЕНИЕ(1),  ПЕРЕПИСЫВАНИЕ ВЫРАЖЕНИЯ(1),  
