Term;TermFragment;MainPage;TermType;TermFrequency;CValue;inHeader;TermRule;TermRepeatRule
ПОСЛЕДОВАТЕЛЬНОСТЬ ФОРМ;последовательность форм;4;NonDictTerm;2;3,16992500144231;False;0;0
ВЫВОД АТОМОВ;выводе атомов;5;NonDictTerm;1;1,58496250072116;False;0;0
АРГУМЕНТЫ ФУНКЦИИ;аргументов функции;5;NonDictTerm;32;50,718800023077;False;0;0
ВЫЗОВ ФУНКЦИИ;вызов функции;5;NonDictTerm;38;60,2285750274039;False;0;0
ИМЯ ФУНКЦИИ;имя функции;5;NonDictTerm;21;33,2842125151443;False;0;0
ВЫРАЖЕНИЕ ПРОГРАММЫ;выражения программы;5;NonDictTerm;1;1,58496250072116;False;0;0
МАТЕМАТИКА ЗАПИСИ;математике записи;5;NonDictTerm;1;1,58496250072116;False;0;0
ФУНКЦИЯ ЛИСПА;Функции Лиспа;6;NonDictTerm;10;15,8496250072116;False;0;0
ДЕЛЕНИЕ ФУНКЦИЙ;деление функций;6;NonDictTerm;1;1,58496250072116;False;0;0
ЗНАЧЕНИЕ ФУНКЦИИ;значения функции;6;NonDictTerm;29;45,9639125209135;False;0;0
ПОСТРОЕНИЕ СПИСКА;построения списка;6;NonDictTerm;1;1,58496250072116;False;0;0
ХВОСТ СПИСКА;хвост списка;7;NonDictTerm;3;4,75488750216347;False;0;0
ОСТАТОК СПИСКА;остатком списка;7;NonDictTerm;1;1,58496250072116;False;0;0
СОКРАЩЕНИЕ НАЗВАНИЙ;сокращения названий;7;NonDictTerm;1;1,58496250072116;False;0;0
ПРОВЕРКА РАВЕНСТВА;проверки равенства;8;NonDictTerm;3;1,58496250072116;False;0;0
РАВЕНСТВО ЧИСЕЛ;равенства чисел;8;NonDictTerm;2;3,16992500144231;False;0;0
СНЯТИЕ БЛОКИРОВКИ;снятия блокировки;9;NonDictTerm;2;3,16992500144231;False;0;0
СРЕДСТВО РАЗВЕТВЛЕНИЯ;средством разветвления;9;NonDictTerm;1;1,58496250072116;False;0;0
УСЛОВИЯ ВЕТВЕЙ;условиями ветвей;9;NonDictTerm;2;3,16992500144231;False;0;0
ОПЕРАЦИЯ СЛОЖЕНИЯ;операцию сложения;11;NonDictTerm;2;3,16992500144231;False;0;0
МОЩНОСТЬ ФУНКЦИИ;мощность функции;11;NonDictTerm;1;1,58496250072116;False;0;0
ЛИСПОВСКИЕ ФУНКЦИЙ;лисповских функций;11;NonDictTerm;5;7,92481250360578;False;0;0
ПАРАМЕТРЫ ФУНКЦИИ;параметрами функции;11;NonDictTerm;8;12,6797000057693;False;0;0
ТЕЛО ФУНКЦИИ;Телом функции;12;NonDictTerm;27;42,7939875194712;False;0;0
СРЕДСТВО ПАРАМЕТРИЗАЦИИ;средство параметризации;12;NonDictTerm;1;1,58496250072116;False;0;0
ОСНОВА ФОРМИРОВАНИЯ;основой формирования;14;NonDictTerm;1;1,58496250072116;False;0;0
ЛИСПОВСКИЙ СПИСКА;лисповского списка;15;NonDictTerm;5;7,92481250360578;False;0;0
СПИСОК-ВЫЗОВ ФУНКЦИИ;списка-вызова функции;15;NonDictTerm;2;0;False;0;0
БОЛЬШИНСТВО ДИАЛЕКТОВ;большинстве диалектов;16;NonDictTerm;2;3,16992500144231;False;0;0
СУПЕРПОЗИЦИЯ ФУНКЦИЙ;суперпозиции функций;16;NonDictTerm;3;3,16992500144231;False;0;0
ИМЯ ФУНКЦИЯ-СУПЕРПОЗИЦИИ;имени функции-суперпозиции;16;NonDictTerm;1;1,58496250072116;False;0;0
ГРУППА ФУНКЦИЙ;группу функций;16;NonDictTerm;1;1,58496250072116;False;0;0
ДЕЛЕНИЕ ЧИСЕЛ;деления чисел;17;NonDictTerm;1;1,58496250072116;False;0;0
ЗНАК ЧИСЛО-АРГУМЕНТА;знака числа-аргумента;17;NonDictTerm;1;1,58496250072116;False;0;0
ОПЕРАЦИЯ ДЕЛЕНИЯ;операции деления;17;NonDictTerm;1;1,58496250072116;False;0;0
ВЫЧИТАНИЕ ЕДИНИЦЫ;вычитания единицы;18;NonDictTerm;1;1,58496250072116;False;0;0
СРАВНЕНИЕ АТОМ-ЧИСЕЛ;сравнения атомов-чисел;18;NonDictTerm;1;1,58496250072116;False;0;0
ПРЕДИКАТЫ ТИПА;Предикаты  типа;18;NonDictTerm;1;1,58496250072116;False;0;0
ВЫЗОВ ФУНКЦИЯ-ДИЗЪЮНКЦИИ;Вызов функции-дизъюнкции;20;NonDictTerm;1;1,58496250072116;False;0;0
ИНТЕРПРЕТАТОР ЯЗЫКА;интерпретатором языка;20;NonDictTerm;1;1,58496250072116;False;0;0
РЕАЛИЗАЦИЯ ПРОХОДА;реализации прохода;21;NonDictTerm;1;1,58496250072116;False;0;0
ДЛИНА СПИСКА;длина списка;21;NonDictTerm;3;4,75488750216347;False;0;0
ВЕТВЬ ФУНКЦИИ;ветвь функции;21;NonDictTerm;17;26,9443625122597;False;0;0
ЗАВЕРШЕНИЕ РЕКУРСИИ;завершения рекурсии;21;NonDictTerm;2;0;False;0;0
ФУНКЦИЯ СЛОЖЕНИЯ;функции сложения;22;NonDictTerm;3;4,75488750216347;False;0;0
СТЕК ВЫРАЖЕНИЯ;стек выражения;22;NonDictTerm;3;4,75488750216347;False;0;0
СТЕКИ ВЫРАЖЕНИЯ;стек выражения;22;NonDictTerm;1;1,58496250072116;False;0;0
ЗАПОЛНЕНИЕ СТЕКА;заполнении стека;22;NonDictTerm;1;1,58496250072116;False;0;0
СТАРЫЕ СВЯЗИ;старые связи;22;NonDictTerm;2;3,16992500144231;False;0;0
ИСХОД СРАВНЕНИЯ;исхода сравнения;2;NonDictTerm;1;1,58496250072116;False;0;0
ПОИСК АТОМА;поиск атома;23;NonDictTerm;1;1,58496250072116;False;0;0
ИСКОМОЕ АТОМА;искомого атома;23;NonDictTerm;1;1,58496250072116;False;0;0
АТОМ-ЗНАЧЕНИЕ ПАРАМЕТРА;атом-значение параметра;23;NonDictTerm;2;3,16992500144231;False;0;0
ФУНКЦИЯ ПОИСКА;функцию поиска;23;NonDictTerm;1;1,58496250072116;False;0;0
КОНКАТЕНАЦИЯ СПИСКОВ;конкатенацией списков;2;NonDictTerm;1;1,58496250072116;False;0;0
ВТОРОЕ СПИСКА;второго списка;24;NonDictTerm;2;1,58496250072116;False;0;0
СОЕДИНЕНИЕ СПИСКОВ;соединении списков;25;NonDictTerm;1;1,58496250072116;False;0;0
ИМЕНА АТОМОВ;именах атомов;25;NonDictTerm;5;7,92481250360578;False;0;0
ПОНЯТИЯ АТОМА;понятий атома;26;NonDictTerm;1;-1,58496250072116;False;0;0
ПРАВИЛО ПЕРЕВОДА;правила перевода;26;NonDictTerm;1;1,58496250072116;False;0;0
ПРАВИЛА ПЕРЕВОДА;правила перевода;26;NonDictTerm;1;1,58496250072116;False;0;0
ПРЕОБРАЗУЕМОЕ СПИСКА;преобразуемого списка;27;NonDictTerm;1;1,58496250072116;False;0;0
СПОСОБ ПРЕДСТАВЛЕНИЯ;способом представления;29;NonDictTerm;1;1,58496250072116;False;0;0
ПАМЯТЬ КОМПЬЮТЕРА;памяти компьютера;29;NonDictTerm;5;7,92481250360578;False;0;0
ТАБЛИЦА СИМВОЛОВ;таблицу символов;29;NonDictTerm;2;3,16992500144231;False;0;0
СПИСОК СВОЙСТВ;список свойств;29;NonDictTerm;22;34,8691750158654;True;0;0
СВОЙСТВА АТОМА;свойств атома;29;NonDictTerm;10;12,6797000057693;True;0;0
ЗНАЧЕНИЕ АТОМА;значение атома;30;NonDictTerm;1;1,58496250072116;False;0;0
ТАБЛИЦА АТОМОВ;таблицы атомов;30;NonDictTerm;6;3,16992500144231;False;0;0
ЛИСПОВСКИЕ ОБЪЕКТОВ;лисповских объектов;32;NonDictTerm;3;4,75488750216347;False;0;0
ПОТЕРЯ УКАЗАТЕЛЯ;потеря указателя;33;NonDictTerm;1;1,58496250072116;False;0;0
КОПИРОВАНИЕ ЭЛЕМЕНТОВ;копирование элементов;33;NonDictTerm;1;1,58496250072116;False;0;0
СРАВНЕНИЕ УКАЗАТЕЛЕЙ;сравнения указателей;33;NonDictTerm;2;0;False;0;0
СБОРКА МУСОРА;сборки мусора;34;NonDictTerm;1;1,58496250072116;False;0;0
ПОСЛЕДОВАТЕЛЬНОСТЬ ОПЕРАЦИЙ;последовательностью операций;35;NonDictTerm;2;1,58496250072116;False;0;0
ОПЕРАТОР ПРИСВАИВАНИЯ;оператор присваивания;35;NonDictTerm;2;3,16992500144231;False;0;0
ПЕРЕДАЧА ДАННЫХ;Передача данных;35;NonDictTerm;1;1,58496250072116;False;0;0
ТЕКСТ ЛИСП-ПРОГРАММЫ;тексте лисп-программы;35;NonDictTerm;1;1,58496250072116;False;0;0
СПИСКИ ЧИСЕЛ;списки чисел;35;NonDictTerm;11;17,4345875079327;False;0;0
ФУНКЦИЯ ВЫЧИТАНИЯ;функция вычитания;36;NonDictTerm;1;1,58496250072116;False;0;0
ФУНКЦИЯ СРАВНЕНИЯ;функция сравнения;36;NonDictTerm;1;1,58496250072116;False;0;0
ФУНКЦИЯ УМНОЖЕНИЯ;функция умножения;36;NonDictTerm;1;1,58496250072116;False;0;0
ФУНКЦИЯ ДЕЛЕНИЯ;функция деления;36;NonDictTerm;1;1,58496250072116;False;0;0
СУММА ЧИСЕЛ;суммы чисел;37;NonDictTerm;2;3,16992500144231;False;0;0
ПРОИЗВЕДЕНИЕ ЧИСЕЛ;произведения чисел;37;NonDictTerm;3;4,75488750216347;False;0;0
РАСШИРЕНИЕ ЯЗЫКА;расширения языка;37;NonDictTerm;2;1,58496250072116;False;0;0
ИСПОЛНЕНИЕ ПРОГРАММЫ;исполнения программы;37;NonDictTerm;2;3,16992500144231;False;0;0
СТРАТЕГИЯ СВЯЗЫВАНИЯ;стратегия связывания;38;NonDictTerm;2;1,58496250072116;False;0;0
СОЗДАНИЕ ИНТЕРПРЕТАТОРА;создание интерпретатора;38;NonDictTerm;1;1,58496250072116;False;0;0
КОНФЛИКТ ИМЕН;конфликта имен;38;NonDictTerm;3;4,75488750216347;False;0;0
СВЯЗЬ АТОМА;связь атома;39;NonDictTerm;1;1,58496250072116;False;0;0
ПРОГРАММА КОНСТАНТ;программе констант;39;NonDictTerm;1;1,58496250072116;False;0;0
НАПИСАНИЕ ПРОГРАММ;написание программ;39;NonDictTerm;1;1,58496250072116;False;0;0
ПРОГРАММИРОВАНИЕ ФУНКЦИЙ;программировании функций;39;NonDictTerm;2;1,58496250072116;False;0;0
ПРОСТОЙ РЕКУРСИИ;простой рекурсии;39;NonDictTerm;2;3,16992500144231;False;0;0
ИЛЛЮСТРАЦИЯ ДИНАМИКИ;иллюстрации динамики;40;NonDictTerm;1;1,58496250072116;False;0;0
ГЛУБИНА РЕКУРСИИ;глубина рекурсии;40;NonDictTerm;3;4,75488750216347;False;0;0
РЕВЕРСИРУЕМОЕ СПИСКА;реверсируемого списка;40;NonDictTerm;3;1,58496250072116;False;0;0
РЕВЕРСИРУЕМОГО СПИСКА;реверсируемого списка;40;NonDictTerm;1;1,58496250072116;False;0;0
ОБЪЕМ ПАМЯТИ;объема памяти;40;NonDictTerm;3;3,16992500144231;False;0;0
ВЫПОЛНЕНИЕ ЦИКЛА;выполнения цикла;40;NonDictTerm;2;3,16992500144231;False;0;0
ОРГАНИЗАЦИЯ СТЕКА;организацией стека;41;NonDictTerm;1;1,58496250072116;False;0;0
ВЫША ФУНКЦИИ;выше функции;41;NonDictTerm;1;1,58496250072116;False;0;0
СПИСКИ АТОМОВ;списками атомов;42;NonDictTerm;12;19,0195500086539;False;0;0
ПРЯМАЯ РЕКУРСИИ;прямой рекурсии;42;NonDictTerm;3;4,75488750216347;False;0;0
УПРОЩЕНИЕ ПРОГРАММЫ;упрощения программы;43;NonDictTerm;2;3,16992500144231;False;0;0
ФУНКЦИЯ ПЕРЕВОДА;функция перевода;43;NonDictTerm;2;3,16992500144231;False;0;0
РАСПОЗНАВАНИЕ КОНЪЮНКЦИИ;распознавание конъюнкции;43;NonDictTerm;1;1,58496250072116;False;0;0
ПЕРЕВОД КОНСТАНТЫ;перевод константы;43;NonDictTerm;2;3,16992500144231;False;0;0
ОПЕРАЦИЯ КОНЪЮНКЦИИ;операцией конъюнкции;43;NonDictTerm;1;1,58496250072116;False;0;0
ОПЕРАЦИЯ ДИЗЪЮНКЦИИ;операцией дизъюнкции;43;NonDictTerm;1;1,58496250072116;False;0;0
ТЕХНИК ПЕРЕПИСЫВАНИЯ;технику переписывания;44;NonDictTerm;3;3,16992500144231;False;0;0
УЧЕТ ДИНАМИКИ;учетом динамики;44;NonDictTerm;1;1,58496250072116;False;0;0
ПОСТРОЕНИЕ ФУНКЦИЯ-ПРЕДИКАТА;построения функции-предиката;45;NonDictTerm;1;1,58496250072116;False;0;0
СТРУКТУРА ТЕЛА;структура тела;45;NonDictTerm;1;1,58496250072116;False;0;0
ПРОВЕРКА ПОДДЕРЕВ;проверку поддеревьев;46;NonDictTerm;1;1,58496250072116;False;0;0
НЕПУСТОТА СПИСКА;непустота списка;47;NonDictTerm;1;1,58496250072116;False;0;0
УЧЕТ СТРУКТУРЫ;учетом структуры;47;NonDictTerm;1;1,58496250072116;False;0;0
СРАВНЕНИЕ АТОМОВ;сравнения атомов;47;NonDictTerm;1;1,58496250072116;False;0;0
ПОДСЧЕТ ЛИСТОВ;подсчет листьев;48;NonDictTerm;1;1,58496250072116;False;0;0
ЧИСЛО АТОМОВ;число атомов;48;NonDictTerm;2;0;False;0;0
СПИСОК ДЛИНЫ;списка длины;50;NonDictTerm;1;1,58496250072116;False;0;0
ПЕРЕСЧЕТ СУММЫ;пересчетом суммы;50;NonDictTerm;1;1,58496250072116;False;0;0
ПЕРВОЕ АРГУМЕНТ-СПИСКА;первого аргумента-списка;51;NonDictTerm;1;1,58496250072116;False;0;0
РЕВЕРСИРОВАНИЕ СПИСКА;реверсирования списка;52;NonDictTerm;1;1,58496250072116;False;0;0
ПОСТРОЕНИЕ ФУНКЦИИ;построения функции;52;NonDictTerm;1;1,58496250072116;False;0;0
ПОРЯДОК АТОМОВ;порядка атомов;56;NonDictTerm;1;1,58496250072116;False;0;0
ДОБАВЛЕНИЕ АТОМА;добавление атома;57;NonDictTerm;1;1,58496250072116;False;0;0
ПРОГРАММИРОВАНИЕ РЕКУРСИИ;программирование рекурсии;57;NonDictTerm;1;1,58496250072116;True;0;0
СПИСОК ГЛУБИНЫ;список глубины;58;NonDictTerm;1;1,58496250072116;False;0;0
АТОМ СПИСКА;атом списка;58;NonDictTerm;1;1,58496250072116;False;0;0
ВХОЖДЕНИЕ ЗНАЧЕНИЯ;вхождение значения;58;NonDictTerm;2;3,16992500144231;False;0;0
ПАР ЭЛЕМЕНТОВ;пар элементов;58;NonDictTerm;1;1,58496250072116;False;0;0
АРГУМЕНТ-СПИСОК АТОМОВ;аргумент-список атомов;58;NonDictTerm;1;1,58496250072116;False;0;0
ЗАПИСЬ ПРОИЗВЕДЕНИЯ;записью произведения;59;NonDictTerm;1;1,58496250072116;False;0;0
РАЗНОСТЬ МНОЖЕСТВ;разность множеств;59;NonDictTerm;1;1,58496250072116;False;0;0
РАВЕНСТВО МНОЖЕСТВ;равенства множеств;59;NonDictTerm;1;-1,58496250072116;False;0;0
ВХОЖДЕНИЕ АТОМА;вхождения атома;59;NonDictTerm;1;1,58496250072116;False;0;0
СПИСОК ПАР;список пар;60;NonDictTerm;1;1,58496250072116;False;0;0
ПОНЯТИЕ ФУНКЦИОНАЛА;Понятие функционала;60;NonDictTerm;1;1,58496250072116;True;0;0
ПРЕДЕЛЫ ИНТЕГРИРОВАНИЯ;пределы интегрирования;60;NonDictTerm;1;1,58496250072116;False;0;0
ЧИСЛА СПИСКА;чисел списка;60;NonDictTerm;1;1,58496250072116;False;0;0
ПОЛУЧЕНИЕ ФУНКЦИИ;получения функции;61;NonDictTerm;1;1,58496250072116;False;0;0
ЗАПИСЬ ФУНКЦИИ;записи функции;61;NonDictTerm;1;1,58496250072116;False;0;0
ПРИЧИНА ОШИБКИ;Причина ошибки;61;NonDictTerm;2;3,16992500144231;False;0;0
СЧЕТ ПЕРВОГО;счет первого;62;NonDictTerm;1;1,58496250072116;False;0;0
СЧЕТ ВТОРОГО;счет второго;62;NonDictTerm;1;1,58496250072116;False;0;0
ТЕЛО ФУНКЦИОНАЛА;теле функционала;62;NonDictTerm;1;1,58496250072116;False;0;0
АРГУМЕНТ ФУНКЦИОНАЛА;аргумент функционала;62;NonDictTerm;3;0;False;0;0
ФУНКЦИЯ КВОТИРОВАНИЯ;функция квотирования;64;NonDictTerm;3;4,75488750216347;False;0;0
ОТОБРАЖЕНИЕ СПИСОК-АРГУМЕНТА;отображение списка-аргумента;64;NonDictTerm;1;1,58496250072116;False;0;0
СЧЕТ ПРИМЕНЕНИЯ;счет применения;64;NonDictTerm;1;1,58496250072116;False;0;0
ИМЯ ФУНКЦИОНАЛА;имя функционала;64;NonDictTerm;1;1,58496250072116;False;0;0
ОСНОВА ФУНКЦИОНАЛА;основе функционала;64;NonDictTerm;3;4,75488750216347;False;0;0
ВЫЗОВ ФУНКЦИОНАЛОВ;Вызов функционалов;65;NonDictTerm;3;4,75488750216347;False;0;0
ЗНАЧЕНИЕ ФУНКЦИОНАЛОВ;значением функционалов;65;NonDictTerm;2;3,16992500144231;False;0;0
ВЫЧИСЛЯЕМОСТЬ ПАРАМЕТРОВ;Вычисляемость параметров;67;NonDictTerm;1;1,58496250072116;False;0;0
КОЛЛИЗИЯ ИМЕН;коллизия имен;67;NonDictTerm;2;0;False;0;0
ОСОБЕННОСТЬ ДИАЛЕКТА;Особенностью диалекта;69;NonDictTerm;1;1,58496250072116;False;0;0
ПРИМЕНЕНИЕ ФУНКЦИОНАЛОВ;Применение  функционалов;70;NonDictTerm;2;3,16992500144231;True;0;0
РАЗЛИЧИЕ РЕШЕНИЙ;различие решений;70;NonDictTerm;1;1,58496250072116;False;0;0
ЗАДАЧА СЛИЯНИЯ;задаче слияния;71;NonDictTerm;1;1,58496250072116;False;0;0
УСЛОВИЕ ВСТАВКИ;условие вставки;71;NonDictTerm;1;1,58496250072116;False;0;0
МЕСТО ВСТАВКИ;место вставки;71;NonDictTerm;1;1,58496250072116;False;0;0
СОХРАНЕНИЕ УПОРЯДОЧЕННОСТИ;сохранением упорядоченности;71;NonDictTerm;1;1,58496250072116;False;0;0
ПОИСК МАКСИМУМА;поиск максимума;71;NonDictTerm;2;3,16992500144231;False;0;0
БАЗ ФУНКЦИИ;базе функции;71;NonDictTerm;1;1,58496250072116;False;0;0
БАЗА ФУНКЦИИ;базе функции;71;NonDictTerm;1;1,58496250072116;False;0;0
ПЕРВОЕ ОПЕРАНДА;первого операнда;72;NonDictTerm;1;1,58496250072116;False;0;0
НАПРАВЛЕНИЕ СВЕРТКИ;направления свертки;72;NonDictTerm;1;1,58496250072116;False;0;0
ЗАДАЧА ПОСТРОЕНИЯ;задачи построения;72;NonDictTerm;2;3,16992500144231;False;0;0
СЛИЯНИЕ СПИСКОВ;слиянии списков;74;NonDictTerm;1;1,58496250072116;False;0;0
ФУНКЦИЯ ФОРМИРОВАНИЯ;функцию формирования;75;NonDictTerm;1;1,58496250072116;False;0;0
ПРОИЗВЕДЕНИЕ МНОЖЕСТВ;произведения множеств;75;NonDictTerm;1;1,58496250072116;False;0;0
СПИСОК СПИСОК-ПОДМНОЖЕСТВ;списком списков-подмножеств;75;NonDictTerm;1;1,58496250072116;False;0;0
ПРОГРАММИРОВАНИЕ ФУНКЦИОНАЛОВ;программировании функционалов;75;NonDictTerm;1;1,58496250072116;False;0;0
КВОТИРОВАНИЕ ЛЯМБДА-ВЫРАЖЕНИЯ;квотирования лямбда-выражения;76;NonDictTerm;1;1,58496250072116;False;0;0
РАЗДЕЛ СРЕДСТВА;разделе средства;78;NonDictTerm;1;1,58496250072116;False;0;0
ХРАНЕНИЕ ИНФОРМАЦИИ;хранения информации;78;NonDictTerm;2;0;False;0;0
ОТСУТСТВИЕ СВОЙСТВА;отсутствие свойства;79;NonDictTerm;1;1,58496250072116;False;0;0
УДАЛЕНИЕ СВОЙСТВА;удаления свойства;79;NonDictTerm;2;1,58496250072116;False;0;0
ФУНКЦИЯ ПРИСВАИВАНИЯ;функции присваивания;79;NonDictTerm;2;3,16992500144231;False;0;0
ФУНКЦИЯ СИНУСА;Функции синуса;80;NonDictTerm;1;1,58496250072116;False;0;0
ПАСКАЛЕВСКИЕ ФУНКЦИЙ;паскалевских функций;80;NonDictTerm;3;4,75488750216347;False;0;0
ВЫРАЖЕНИЕ-СУПЕРПОЗИЦИЯ ФУНКЦИЙ;выражения-суперпозиции функций;81;NonDictTerm;2;0;False;0;0
ДАННА ФУНКЦИИ;данной функции;82;NonDictTerm;2;3,16992500144231;False;0;0
СПИСОК-ЗНАЧЕНИЕ СВОЙСТВА;список-значение свойства;82;NonDictTerm;1;1,58496250072116;False;0;0
ФУНКЦИЯ ВВОДА;Функции ввода;82;NonDictTerm;5;7,92481250360578;True;0;0
ВВОД АТОМА;вводе атома;82;NonDictTerm;7;11,0947375050481;False;0;0
ВВОД СПИСКА;вводе списка;82;NonDictTerm;1;1,58496250072116;False;0;0
ПОСЛЕДОВАТЕЛЬНОСТЬ СИМВОЛОВ;последовательность символов;83;NonDictTerm;1;1,58496250072116;False;0;0
СИМВОЛ ИМЕНИ;символом имени;83;NonDictTerm;1;1,58496250072116;False;0;0
ЗАПИСЬ АТОМА;записи атома;83;NonDictTerm;1;1,58496250072116;False;0;0
ИСКЛЮЧЕНИЕ АТОМОВ;исключением атомов;83;NonDictTerm;1;1,58496250072116;False;0;0
СЧИТЫВАНИЕ АТОМОВ;считывание атомов;84;NonDictTerm;1;1,58496250072116;False;0;0
ВВОД СИМВОЛА;вводе символа;84;NonDictTerm;7;11,0947375050481;False;0;0
СПОСОБЫ ВВОДА;способы ввода;84;NonDictTerm;1;1,58496250072116;False;0;0
СПИСОК СИМВОЛОВ;список символов;85;NonDictTerm;2;3,16992500144231;False;0;0
ПРЕОБРАЗОВАНИЕ СТРОКИ;преобразования строки;85;NonDictTerm;1;1,58496250072116;False;0;0
СПИСОК СИМВОЛ-КОНСТАНТ;список символов-констант;85;NonDictTerm;1;1,58496250072116;False;0;0
ПУТЬ КОНКАТЕНАЦИИ;путем конкатенации;85;NonDictTerm;1;1,58496250072116;False;0;0
ЗАПИСЬ СИМВОЛОВ;запись символов;85;NonDictTerm;1;1,58496250072116;False;0;0
ПЕРЕВОД СТРОКИ;переводом строки;86;NonDictTerm;5;7,92481250360578;False;0;0
ПОЗИЦИЯ СТРОКИ;позиции строки;86;NonDictTerm;2;3,16992500144231;False;0;0
СИМВОЛ ПРОБЕЛА;символ пробела;86;NonDictTerm;1;1,58496250072116;False;0;0
ЗАГРУЗКА ОПРЕДЕЛЕНИЙ;загрузки определений;87;NonDictTerm;1;1,58496250072116;False;0;0
ВЕТВИ ВЫРАЖЕНИЯ;ветвей выражения;87;NonDictTerm;1;1,58496250072116;False;0;0
ФУНКЦИЯ ВЫРАЖЕНИЯ;функции выражения;88;NonDictTerm;1;1,58496250072116;False;0;0
ТЕЛО ЛЯМБДА-ВЫРАЖЕНИЯ;теле лямбда-выражения;88;NonDictTerm;1;1,58496250072116;False;0;0
ОБРАЗ ФУНКЦИИ;образом функции;90;NonDictTerm;1;1,58496250072116;False;0;0
НЕВЫЧИСЛЯЕМЫХ АРГУМЕНТОВ;невычисляемых аргументов;91;NonDictTerm;1;1,58496250072116;False;0;0
ПРОДОЛЖЕНИЕ РЕКУРСИИ;продолжения рекурсии;92;NonDictTerm;1;-1,58496250072116;False;0;0
СПИСОК АРГУМЕНТОВ;список аргументов;92;NonDictTerm;2;3,16992500144231;False;0;0
ОПИСАНИЕ ФУНКЦИИ;описания функции;93;NonDictTerm;1;1,58496250072116;False;0;0
СПИСОК ПАРАМЕТРОВ;списке параметров;93;NonDictTerm;1;1,58496250072116;False;0;0
МЕХАНИЗМ МАКРОСОВ;механизм макросов;94;NonDictTerm;1;1,58496250072116;False;0;0
ПОЛЬЗОВАТЕЛЬ МАКРОСОВ;пользователем макросов;94;NonDictTerm;1;1,58496250072116;False;0;0
ЗАГРУЗКА ФАЙЛА;загрузки файла;94;NonDictTerm;4;4,75488750216347;False;0;0
ИМЯ МАКРОСА;имя макроса;94;NonDictTerm;1;1,58496250072116;False;0;0
ТЕЛО МАКРОСА;теле макроса;94;NonDictTerm;4;6,33985000288463;False;0;0
ЗНАЧЕНИЕ МАКРОВЫЗОВА;значением макровызова;94;NonDictTerm;1;1,58496250072116;False;0;0
КОНТЕКСТ МАКРОВЫЗОВА;контекста макровызова;95;NonDictTerm;1;1,58496250072116;False;0;0
РАЗЛИЧИЕ МАКРОСОВ;различие макросов;95;NonDictTerm;1;1,58496250072116;False;0;0
ИСКЛЮЧЕНИЕ ПЕРВОГО;исключением первого;98;NonDictTerm;1;1,58496250072116;False;0;0
ВЕТВЬ МАКРОФУНКЦИИ;ветвь макрофункции;98;NonDictTerm;1;1,58496250072116;False;0;0
ТЕЛО ЦИКЛА;тело цикла;99;NonDictTerm;4;3,16992500144231;False;0;0
ПРОГРАММИРОВАНИЕ ЦИКЛОВ;программирования циклов;100;NonDictTerm;2;3,16992500144231;False;0;0
ПЕРЕДАЧА УПРАВЛЕНИЯ;передачи управления;101;NonDictTerm;1;1,58496250072116;False;0;0
МЕТКА ПЕРЕХОДА;метка перехода;2;NonDictTerm;1;1,58496250072116;False;0;0
СТАРЕЙШИЕ ЯЗЫКИ;старейших языков;2;NonDictTerm;1;1,58496250072116;False;0;0
ФУНКЦИОНАЛЬНЫЙ ЯЗЫК;функциональный язык;2;NonDictTerm;7;11,0947375050481;False;0;0
ШИРОКОЕ РАСПРОСТРАНЕНИЕ;широкое распространение;2;NonDictTerm;1;1,58496250072116;False;0;0
ПРОШЛЫЙ ВЕК;прошлого века;2;NonDictTerm;1;1,58496250072116;False;0;0
ПРОШЛОЕ ВЕКО;прошлого века;2;NonDictTerm;1;1,58496250072116;False;0;0
СИМВОЛЬНАЯ ИНФОРМАЦИЯ;символьной информации;2;NonDictTerm;1;1,58496250072116;False;0;0
ОСНОВНЫЙ ЯЗЫК;основной язык;2;NonDictTerm;1;1,58496250072116;False;0;0
НАУЧНЫЕ ИССЛЕДОВАНИЯ;научных исследований;2;NonDictTerm;1;1,58496250072116;False;0;0
ОФИЦИАЛЬНЫЙ СТАНДАРТ;Официальный стандарт;2;NonDictTerm;1;1,58496250072116;False;0;0
УДАЧНЫЙ ДИАЛЕКТ;удачный диалект;2;NonDictTerm;1;1,58496250072116;False;0;0
ФУНКЦИОНАЛЬНОЕ ПРОГРАММИРОВАНИЕ;функционального программирования;2;NonDictTerm;14;22,1894750100962;False;0;0
ЯРКИЕ ПРЕДСТАВИТЕЛИ;ярких представителей;2;NonDictTerm;1;1,58496250072116;False;0;0
УДИВИТЕЛЬНЫЕ ОСОБЕННОСТИ;удивительных особенностей;2;NonDictTerm;1;1,58496250072116;False;0;0
ФУНКЦИОНАЛЬНЫЕ СРЕДСТВА;функциональным средствам;2;NonDictTerm;2;1,58496250072116;False;0;0
ОСНОВОПОЛАГАЮЩИЕ ПРИНЦИПЫ;основополагающие принципы;2;NonDictTerm;1;1,58496250072116;False;0;0
ПРИНЦИПИАЛЬНЫЕ ОТЛИЧИЯ;принципиальных отличий;3;NonDictTerm;1;1,58496250072116;False;0;0
СОВРЕМЕННЫЕ ДИАЛЕКТЫ;современных диалектах;3;NonDictTerm;4;6,33985000288463;False;0;0
СТРОГАЯ ФУНКЦИОНАЛЬНОСТЬ;строгой функциональности;3;NonDictTerm;2;1,58496250072116;False;0;0
